© 2000-2019 QIAGEN. All rights reserved.

Symbol	Entrez Gene Name	Gene Symbol - human (HUGO / HGNC / Entrez Gene)	Location	Type(s)	Biomarker Application(s)	Drug(s)	Entrez Gene ID for Human	Entrez Gene ID for Mouse	Entrez Gene ID for Rat
CEND1	cell cycle exit and neuronal differentiation 1	CEND1	Other	other			51286	57754	 
CRABP1	cellular retinoic acid binding protein 1	CRABP1	Cytoplasm	transporter	diagnosis,unspecified application		1381	12903	25061
CRTAC1	cartilage acidic protein 1	CRTAC1	Extracellular Space	other			55118	72832	171438
CTSS	cathepsin S	CTSS	Cytoplasm	peptidase			1520	13040	50654
CYP2J2	cytochrome P450 family 2 subfamily J member 2	CYP2J2	Cytoplasm	enzyme			1573	13110	65210
DAAM1	dishevelled associated activator of morphogenesis 1	DAAM1	Cytoplasm	other			23002	208846	314212
DAB2	DAB adaptor protein 2	DAB2	Plasma Membrane	other			1601	13132	79128
DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1	DAPP1	Cytoplasm	other			27071	26377	362046
DDIT4	DNA damage inducible transcript 4	DDIT4	Cytoplasm	other			54541	74747	140942
DHRS2	dehydrogenase/reductase 2	DHRS2	Nucleus	enzyme			10202	 	 
DHRS9	dehydrogenase/reductase 9	DHRS9	Cytoplasm	enzyme			10170	241452	170635
DNAJC12	DnaJ heat shock protein family (Hsp40) member C12	DNAJC12	Cytoplasm	other			56521	30045	619393
DYDC1	DPY30 domain containing 1	DYDC1	Other	other			143241	69496	688433
DYDC2	DPY30 domain containing 2	DYDC2	Extracellular Space	other			84332	71200	688422
EBI3	Epstein-Barr virus induced 3	EBI3	Extracellular Space	cytokine			10148	50498	680609
EMILIN2	elastin microfibril interfacer 2	EMILIN2	Extracellular Space	other			84034	246707	316736
ERG	ETS transcription factor ERG	ERG	Nucleus	transcription regulator	prognosis,unspecified application		2078	13876	170909
FAM133A	family with sequence similarity 133 member A	FAM133A	Other	other			286499	 	 
FBLN5	fibulin 5	FBLN5	Extracellular Space	other			10516	23876	29158
FBP1	fructose-bisphosphatase 1	FBP1	Cytoplasm	phosphatase			2203	14121	24362
FLG2	filaggrin family member 2	FLG2	Cytoplasm	other			388698	 	 
FOSB	FosB proto-oncogene, AP-1 transcription factor subunit	FOSB	Nucleus	transcription regulator			2354	14282	100360880
GAS2L1P2	growth arrest specific 2 like 1 pseudogene 2	GAS2L1P2	Other	other			340508	 	 
GATA6-AS1	GATA6 antisense RNA 1 (head to head)	GATA6-AS1	Other	other			100128893	 	 
GBX1	gastrulation brain homeobox 1	GBX1	Nucleus	transcription regulator			2636	231044	246149
GFRA3	GDNF family receptor alpha 3	GFRA3	Plasma Membrane	transmembrane receptor			2676	14587	84422
GGTLC2	gamma-glutamyltransferase light chain 2	GGTLC2	Plasma Membrane	enzyme			91227	 	 
GJB4	gap junction protein beta 4	GJB4	Plasma Membrane	transporter			127534	14621	117055
GPD1	glycerol-3-phosphate dehydrogenase 1	GPD1	Cytoplasm	enzyme	unspecified application		2819	14555	60666
GPR1	G protein-coupled receptor 1	GPR1	Plasma Membrane	G-protein coupled receptor			2825	241070	25457
GRPR	gastrin releasing peptide receptor	GRPR	Plasma Membrane	G-protein coupled receptor	diagnosis,disease progression	68Ga-BBN-IRDye800CW,68Ga-NOTA-BBN-RGD,68Ga-NOTA-RM26	2925	14829	24938
HCP5	HLA complex P5	HCP5	Other	other			10866	 	 
HHLA2	HERV-H LTR-associating 2	HHLA2	Other	other			11148	 	 
HOXD1	homeobox D1	HOXD1	Nucleus	transcription regulator			3231	15429	288151
HSD17B6	hydroxysteroid 17-beta dehydrogenase 6	HSD17B6	Other	enzyme	unspecified application	3-hydroxysteroid dehydrogenase inhibitor	8630	27400	 
HSPB2	heat shock protein family B (small) member 2	HSPB2	Cytoplasm	other			3316	69253	161476
IGSF23	immunoglobulin superfamily member 23	IGSF23	Other	other			147710	70080	502306
IHH	Indian hedgehog signaling molecule	IHH	Extracellular Space	enzyme			3549	16147	84399
IL21R	interleukin 21 receptor	IL21R	Plasma Membrane	transmembrane receptor		denenicokin	50615	60504	308977
IL31RA	interleukin 31 receptor A	IL31RA	Plasma Membrane	transmembrane receptor			133396	218624	688622
INPP1	inositol polyphosphate-1-phosphatase	INPP1	Cytoplasm	phosphatase			3628	16329	316376
ISM2	isthmin 2	ISM2	Other	other			145501	 	 
ITGB2	integrin subunit beta 2	ITGB2	Plasma Membrane	transmembrane receptor			3689	16414	309684
ITGB2-AS1	ITGB2 antisense RNA 1	ITGB2-AS1	Other	other			100505746	 	 
IZUMO4	IZUMO family member 4	IZUMO4	Nucleus	other			113177	71564	362832
JPH2	junctophilin 2	JPH2	Cytoplasm	enzyme			57158	59091	296345
KCNB1	potassium voltage-gated channel subfamily B member 1	KCNB1	Plasma Membrane	ion channel		dalfampridine	3745	16500	25736
KCNG3	potassium voltage-gated channel modifier subfamily G member 3	KCNG3	Cytoplasm	ion channel			170850	225030	171011
KCNK9	potassium two pore domain channel subfamily K member 9	KCNK9	Plasma Membrane	ion channel		doxapram,halothane	51305	223604	84429
KLHL6	kelch like family member 6	KLHL6	Other	other			89857	239743	287974
KRT23	keratin 23	KRT23	Cytoplasm	other			25984	94179	287678
KRT83	keratin 83	KRT83	Cytoplasm	other			3889	100126226	407759
KRTAP2-3/KRTAP2-4	keratin associated protein 2-3	KRTAP2-3	Cytoplasm	other			85294|730755	71453|100041412|100041488	501721|680152|501720
KRTAP3-1	keratin associated protein 3-1	KRTAP3-1	Cytoplasm	other			83896	69473	680071
LCE1E	late cornified envelope 1E	LCE1E	Other	other			353135	68694	 
LCE1F	late cornified envelope 1F	LCE1F	Other	other			353137	 	 
LINC00452	long intergenic non-protein coding RNA 452	LINC00452	Other	other			643365	 	 
LINC00589	long intergenic non-protein coding RNA 589	LINC00589	Other	other			619351	 	 
LINC01133	long intergenic non-protein coding RNA 1133	LINC01133	Other	other			100505633	 	 
LINC01173	long intergenic non-protein coding RNA 1173	LINC01173	Other	other			106144537	 	 
LINC01204	long intergenic non-protein coding RNA 1204	LINC01204	Other	other			101927528	 	 
LINC01516	long intergenic non-protein coding RNA 1516	LINC01516	Other	other			101929025	 	 
LINC02321	long intergenic non-protein coding RNA 2321	LINC02321	Other	other			105370623	 	 
LINC02669	long intergenic non-protein coding RNA 2669	LINC02669	Other	other			101927880	 	 
LIPH	lipase H	LIPH	Extracellular Space	enzyme			200879	239759	681694
LOC389602	uncharacterized LOC389602	LOC389602	Other	other			 	 	 
LOC100506178	uncharacterized LOC100506178	LOC100506178	Other	other			100506178	 	 
LOC101927248	uncharacterized LOC101927248	LOC101927248	Other	other			101927248	 	 
LOC101927863	uncharacterized LOC101927863	LOC101927863	Other	other			101927863	 	 
LOC101928304	uncharacterized LOC101928304	LOC101928304	Other	other			101928304	 	 
LOC101928994	uncharacterized LOC101928994	LOC101928994	Other	other			101928994	 	 
LOC101929128	uncharacterized LOC101929128	LOC101929128	Other	other			101929128	 	 
LOC101929638	uncharacterized LOC101929638	LOC101929638	Other	other			101929638	 	 
LOC101929846	uncharacterized LOC101929846	LOC101929846	Other	other			101929846	 	 
LOC102546229	uncharacterized LOC102546229	LOC102546229	Other	other			102546229	 	 
LOC102724475	uncharacterized LOC102724475	LOC102724475	Other	other			102724475	 	 
LOC102725231	uncharacterized LOC102725231	LOC102725231	Other	other			102725231	 	 
LOC105369301	uncharacterized LOC105369301	LOC105369301	Other	other			105369301	 	 
LOC105370777	uncharacterized LOC105370777	LOC105370777	Other	other			105370777	 	 
LOC105371069	uncharacterized LOC105371069	LOC105371069	Other	other			105371069	 	 
LOC105371401	uncharacterized LOC105371401	LOC105371401	Other	other			105371401	 	 
LOC105371493	uncharacterized LOC105371493	LOC105371493	Other	other			105371493	 	 
LOC105371855	--	LOC105371855	Other	other			 	 	 
LOC105372424	uncharacterized LOC105372424	LOC105372424	Other	other			 	 	 
LOC105372501	uncharacterized LOC105372501	LOC105372501	Other	other			 	 	 
LOC105372632	uncharacterized LOC105372632	LOC105372632	Other	other			 	 	 
LOC105372663	uncharacterized LOC105372663	LOC105372663	Other	other			 	 	 
LOC105372693	uncharacterized LOC105372693	LOC105372693	Other	other			 	 	 
LOC105373490	uncharacterized LOC105373490	LOC105373490	Other	other			 	 	 
LOC105373610	uncharacterized LOC105373610	LOC105373610	Other	other			 	 	 
LOC105374259	uncharacterized LOC105374259	LOC105374259	Other	other			 	 	 
LOC105374308	uncharacterized LOC105374308	LOC105374308	Other	other			 	 	 
LOC105374309	uncharacterized LOC105374309	LOC105374309	Other	other			 	 	 
LOC105375754	uncharacterized LOC105375754	LOC105375754	Other	other			 	 	 
LOC105375821	uncharacterized LOC105375821	LOC105375821	Other	other			 	 	 
LOC105376222	uncharacterized LOC105376222	LOC105376222	Other	other			 	 	 
LOC105376233	uncharacterized LOC105376233	LOC105376233	Other	other			 	 	 
LOC105376475	uncharacterized LOC105376475	LOC105376475	Other	other			 	 	 
LOC105376689	uncharacterized LOC105376689	LOC105376689	Other	other			 	 	 
LOC105377378	uncharacterized LOC105377378	LOC105377378	Other	other			 	 	 
LOC105379051	uncharacterized LOC105379051	LOC105379051	Other	other			 	 	 
LOC105379443	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like pseudogene	LOC105379443	Other	other			 	 	 
LOC107984104	uncharacterized LOC107984104	LOC107984104	Other	other			 	 	 
LOC107984192	uncharacterized LOC107984192	LOC107984192	Other	other			 	 	 
LOC107984200	uncharacterized LOC107984200	LOC107984200	Other	other			 	 	 
LOC107986558	uncharacterized LOC107986558	LOC107986558	Other	other			 	 	 
LOC107986973	uncharacterized LOC107986973	LOC107986973	Other	other			 	 	 
LOR	loricrin	LOR	Cytoplasm	other	unspecified application		 	 	 
LRRC15	leucine rich repeat containing 15	LRRC15	Plasma Membrane	other			 	 	 
LY96	lymphocyte antigen 96	LY96	Plasma Membrane	transmembrane receptor			 	 	 
MAB21L4	mab-21 like 4	MAB21L4	Other	other			 	 	 
MAP6	microtubule associated protein 6	MAP6	Cytoplasm	other			 	 	 
MAP3K7CL	MAP3K7 C-terminal like	MAP3K7CL	Other	other			 	 	 
MOBP	myelin-associated oligodendrocyte basic protein	MOBP	Cytoplasm	other			 	 	 
MROH3P	maestro heat like repeat family member 3, pseudogene	MROH3P	Other	other			 	 	 
MUC1	mucin 1, cell surface associated	MUC1	Plasma Membrane	other	diagnosis,disease progression,efficacy,prognosis,unspecified application	anti-CD3/MUC1 bispecific antibody,GO-203-2C,HuHMFG1,pankomab,yttrium y 90 clivatuzumab tetraxetan	 	 	 
MYH2	myosin heavy chain 2	MYH2	Cytoplasm	enzyme			 	 	 
NMNAT2	nicotinamide nucleotide adenylyltransferase 2	NMNAT2	Cytoplasm	enzyme			 	 	 
NR4A3	nuclear receptor subfamily 4 group A member 3	NR4A3	Nucleus	ligand-dependent nuclear receptor			 	 	 
ODAPH	odontogenesis associated phosphoprotein	ODAPH	Other	other			 	 	 
OLR1	oxidized low density lipoprotein receptor 1	OLR1	Plasma Membrane	transmembrane receptor	unspecified application		 	 	 
OPN1SW	opsin 1, short wave sensitive	OPN1SW	Plasma Membrane	G-protein coupled receptor			 	 	 
OTOP1	otopetrin 1	OTOP1	Plasma Membrane	ion channel			 	 	 
PDCD1LG2	programmed cell death 1 ligand 2	PDCD1LG2	Plasma Membrane	enzyme	efficacy	anti PD-L2 antibody,CA-170	 	 	 
PIFO	primary cilia formation	PIFO	Cytoplasm	other			 	 	 
PLP1	proteolipid protein 1	PLP1	Plasma Membrane	other			 	 	 
PRR9	proline rich 9	PRR9	Other	other			 	 	 
RAET1G	retinoic acid early transcript 1G	RAET1G	Plasma Membrane	other			 	 	 
RAET1L	retinoic acid early transcript 1L	RAET1L	Plasma Membrane	other			 	 	 
RASGRP3	RAS guanyl releasing protein 3	RASGRP3	Cytoplasm	other			 	 	 
RASL10A	RAS like family 10 member A	RASL10A	Plasma Membrane	enzyme			 	 	 
RDH16	retinol dehydrogenase 16	RDH16	Cytoplasm	enzyme			 	 	 
RFTN1	raftlin, lipid raft linker 1	RFTN1	Plasma Membrane	other			 	 	 
RFX8	RFX family member 8, lacking RFX DNA binding domain	RFX8	Other	other			 	 	 
RTP4	receptor transporter protein 4	RTP4	Plasma Membrane	other			 	 	 
RXRG	retinoid X receptor gamma	RXRG	Nucleus	ligand-dependent nuclear receptor	unspecified application	6-mercaptopurine/methotrexate/tretinoin,acitretin,adapalene,alitretinoin,arsenic trioxide/daunorubicin/tretinoin,arsenic trioxide/gemtuzumab ozogamicin/tretinoin,arsenic trioxide/idarubicin/tretinoin,arsenic trioxide/tretinoin,bexarotene,cytarabine/daunorubicin/gemtuzumab ozogamicin/tretinoin,cytarabine/daunorubicin/tretinoin,cytarabine/idarubicin/tretinoin,daunorubicin/tretinoin,doxorubicin/tretinoin,etretinate,idarubicin/mitoxantrone/tretinoin,idarubicin/tretinoin,theophylline/tretinoin/valproic acid,tretinoin	 	 	 
RYR3	ryanodine receptor 3	RYR3	Plasma Membrane	ion channel	unspecified application		 	 	 
SAA1	serum amyloid A1	SAA1	Extracellular Space	transporter	diagnosis,unspecified application		 	 	 
SCEL	sciellin	SCEL	Cytoplasm	other			 	 	 
SCIN	scinderin	SCIN	Cytoplasm	other			 	 	 
SH2D1B	SH2 domain containing 1B	SH2D1B	Cytoplasm	other			 	 	 
SH3TC2-DT	SH3TC2 divergent transcript	SH3TC2-DT	Other	other			 	 	 
SIRPB2	signal regulatory protein beta 2	SIRPB2	Other	other			 	 	 
SLC18A3	solute carrier family 18 member A3	SLC18A3	Plasma Membrane	transporter			 	 	 
SLC7A7	solute carrier family 7 member 7	SLC7A7	Plasma Membrane	transporter			 	 	 
SLCO5A1	solute carrier organic anion transporter family member 5A1	SLCO5A1	Other	transporter			 	 	 
SMPDL3B	sphingomyelin phosphodiesterase acid like 3B	SMPDL3B	Extracellular Space	enzyme			 	 	 
SPINK2	serine peptidase inhibitor, Kazal type 2	SPINK2	Extracellular Space	other			 	 	 
SPINK6	serine peptidase inhibitor, Kazal type 6	SPINK6	Extracellular Space	other			 	 	 
STOML3	stomatin like 3	STOML3	Plasma Membrane	other			 	 	 
STX11	syntaxin 11	STX11	Plasma Membrane	transporter			 	 	 
SYT17	synaptotagmin 17	SYT17	Plasma Membrane	other			 	 	 
SYTL2	synaptotagmin like 2	SYTL2	Cytoplasm	other			 	 	 
TENT5C	terminal nucleotidyltransferase 5C	TENT5C	Extracellular Space	enzyme			 	 	 
TEX14	testis expressed 14, intercellular bridge forming factor	TEX14	Plasma Membrane	kinase			 	 	 
TEX15	testis expressed 15, meiosis and synapsis associated	TEX15	Extracellular Space	other			 	 	 
TGM1	transglutaminase 1	TGM1	Plasma Membrane	enzyme			 	 	 
TGM4	transglutaminase 4	TGM4	Extracellular Space	enzyme			 	 	 
TMPRSS7	transmembrane serine protease 7	TMPRSS7	Plasma Membrane	peptidase			 	 	 
TNFAIP8L3	TNF alpha induced protein 8 like 3	TNFAIP8L3	Cytoplasm	transporter			 	 	 
TNFRSF9	TNF receptor superfamily member 9	TNFRSF9	Plasma Membrane	transmembrane receptor		ADG106,anti-CD137 antibody,GEN1046,INBRX 105,PF-05082566,PRS-343,urelumab	 	 	 
TP53I3	tumor protein p53 inducible protein 3	TP53I3	Cytoplasm	enzyme			 	 	 
TSPAN11	tetraspanin 11	TSPAN11	Other	other			 	 	 
UBD	ubiquitin D	UBD	Nucleus	other			 	 	 
UBE2QL1	ubiquitin conjugating enzyme E2 Q family like 1	UBE2QL1	Nucleus	enzyme			 	 	 
ULBP2	UL16 binding protein 2	ULBP2	Plasma Membrane	transmembrane receptor			 	 	 
VIPR2	vasoactive intestinal peptide receptor 2	VIPR2	Plasma Membrane	G-protein coupled receptor			 	 	 
VSIG1	V-set and immunoglobulin domain containing 1	VSIG1	Plasma Membrane	other			 	 	 
VTN	vitronectin	VTN	Extracellular Space	other	unspecified application		 	 	 
VWA5B1	von Willebrand factor A domain containing 5B1	VWA5B1	Extracellular Space	other			 	 	 
WSCD2	WSC domain containing 2	WSCD2	Other	other			 	 	 
ZBED2	zinc finger BED-type containing 2	ZBED2	Other	other			 	 	 
ZMYND15	zinc finger MYND-type containing 15	ZMYND15	Other	other			 	 	 
